background1-00003900.png: left: invalid, right: invalid, x: invalud, y: invalid
background1-00003950.png: left: invalid, right: invalid, x: invalud, y: invalid
background1-00004000.png: left: invalid, right: invalid, x: invalud, y: invalid
background1-00004050.png: left: y=-3.7864149520704333x+94.3592867465842, right: y=1.7465591533815137x+-93.02967639019934, x:45, y:16
background1-00004100.png: left: invalid, right: invalid, x: invalud, y: invalid
background1-00004150.png: left: invalid, right: invalid, x: invalud, y: invalid
background2-00004200.png: left: invalid, right: invalid, x: invalud, y: invalid
background2-00004250.png: left: invalid, right: invalid, x: invalud, y: invalid
background2-00004300.png: left: invalid, right: invalid, x: invalud, y: invalid
background3-00004350.png: left: invalid, right: invalid, x: invalud, y: invalid
background3-00004400.png: left: invalid, right: invalid, x: invalud, y: invalid
background3-00004450.png: left: invalid, right: invalid, x: invalud, y: invalid
background3-00004500.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00004550.png: left: y=-6.5673186929709475x+123.63091218572981, right: y=2.222666234017004x+-93.21009121062305, x:37, y:0
noise1-00004600.png: left: y=-6.212428919577577x+126.31640942323313, right: y=2.252073927534573x+-96.80426206764473, x:34, y:0
noise1-00004650.png: left: y=-5.769050546082992x+131.16916100985267, right: y=2.327820619462919x+-105.93317907905111, x:35, y:0
noise1-00004700.png: left: y=-5.322275706313015x+118.01121715639547, right: y=2.343112153119229x+-106.2678027486629, x:40, y:0
noise1-00004750.png: left: y=-2.688829255246222x+112.23284315378055, right: y=1.9923631167005975x+-107.95680572825438, x:29, y:0
noise1-00004800.png: left: y=-2.535863450862168x+132.26729291518075, right: y=1.8505587568323605x+-111.14029297366741, x:14, y:0
noise1-00004850.png: left: y=-4.91446383011859x+136.081174011491, right: y=1.9269281010004662x+-86.3938570935693, x:29, y:0
noise1-00004900.png: left: y=-5.984357939042754x+125.1414229493608, right: y=1.9743661673044768x+-79.53812207437682, x:38, y:0
noise1-00004950.png: left: y=-5.688428356798789x+119.73326828059417, right: y=1.9575887981594091x+-79.06516076477735, x:40, y:0
noise1-00005000.png: left: y=-5.7571944355951965x+123.89556121907182, right: y=2.011641913088601x+-83.03559090158578, x:39, y:0
noise1-00005050.png: left: y=-6.089931806086715x+131.81680218814594, right: y=2.041082279884675x+-85.59717010423594, x:42, y:0
noise1-00005100.png: left: y=-6.132307445056046x+133.99495761179637, right: y=2.0930072916525697x+-88.43085711879725, x:40, y:0
noise1-00005150.png: left: y=-5.474532741616179x+129.3895004233701, right: y=2.110307217659583x+-90.68028940164248, x:38, y:0
noise1-00005200.png: left: y=-4.717550140338452x+107.31143213341691, right: y=2.119224371179477x+-89.95166649964922, x:42, y:0
noise1-00005250.png: left: y=-3.6025036146412x+127.65288029830303, right: y=2.0938795211699937x+-106.08476668831474, x:29, y:0
noise1-00005300.png: left: y=-5.516582607366647x+131.3852590554791, right: y=2.0756022089172896x+-88.50418692110206, x:31, y:0
noise1-00005350.png: left: y=-4.7050977944236365x+113.50963379109446, right: y=2.1596532668554405x+-90.65312618624304, x:27, y:0
noise1-00005400.png: left: y=-3.7789847361535127x+140.24561535106847, right: y=1.9794128383408394x+-108.48500478570662, x:32, y:0
noise1-00005450.png: left: y=-6.050378567268492x+123.72926917438197, right: y=1.862229612601748x+-71.70915454476929, x:45, y:0
noise1-00005500.png: left: y=-6.9649296202971644x+128.09563167955517, right: y=1.8251761074522874x+-69.74204693821764, x:44, y:3
noise1-00005550.png: left: y=-6.863259619931152x+122.46676253707493, right: y=1.8726794075881497x+-72.54281891334838, x:38, y:5
noise1-00005600.png: left: y=-6.6711588300629385x+119.0550907071455, right: y=1.9220654965219774x+-76.00703395746588, x:34, y:6
noise1-00005650.png: left: y=-3.911720880612456x+120.7781614923632, right: y=2.023509172548872x+-103.67254425873978, x:25, y:9
noise1-00005700.png: left: y=-5.309297769740806x+113.65604279686556, right: y=2.2034291010194624x+-105.86647689659735, x:33, y:12
noise1-00005750.png: left: y=-4.936178153449384x+120.13777704565288, right: y=2.167075739760925x+-110.21742520739434, x:33, y:12
noise1-00005800.png: left: y=-5.303995446167192x+108.66027865119811, right: y=2.1759257189144003x+-111.37865949400398, x:33, y:17
noise1-00005850.png: left: y=-5.394438722966019x+105.71575695159632, right: y=2.159762093474323x+-116.95526042774189, x:34, y:21
noise1-00005900.png: left: y=-5.192822966507177x+95.04258373205745, right: y=2.2211180455090904x+-127.93475030559951, x:32, y:28
noise1-00005950.png: left: y=-4.481890580139456x+93.35155858360304, right: y=2.219151450129025x+-145.4067005357343, x:26, y:37
noise1-00006000.png: left: y=-4.868466505460631x+72.19862886296598, right: y=2.2619616001462357x+-158.34901084361744, x:24, y:51
noise1-00006050.png: left: y=-0.974718503224709x+38.36365039251845, right: y=2.360410627492865x+-236.07057387589674, x:8, y:72
noise1-00006100.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006150.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006200.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006250.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006300.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006350.png: left: invalid, right: invalid, x: invalud, y: invalid
noise1-00006400.png: left: y=-5.612895649151157x+116.08215033963117, right: y=2.1702943897262874x+-88.47018011644994, x:35, y:0
noise1-00006450.png: left: y=-5.595808232510531x+119.66931518802545, right: y=2.2355834863894293x+-96.6348817127662, x:45, y:0
noise1-00006500.png: left: y=-5.337545006317508x+121.17295725943589, right: y=2.2147864620338167x+-88.30631681403581, x:48, y:0
noise1-00006550.png: left: y=-5.000146779197387x+121.6567034726624, right: y=2.1199015488901547x+-90.85534949639633, x:44, y:0
noise1-00006600.png: left: y=-4.389285480048197x+137.36669285840128, right: y=2.0547700197562637x+-95.49039790848244, x:40, y:0
noise1-00006650.png: left: y=-5.873814676372224x+123.01312217194571, right: y=2.0300703022540376x+-78.89179731987119, x:40, y:0
noise1-00006700.png: left: y=-5.805357270966356x+126.15227957529231, right: y=2.009759117069895x+-83.22774565712706, x:40, y:0
noise1-00006750.png: left: y=-6.316411300305338x+125.29844854619972, right: y=1.9837581636308526x+-79.0384469122875, x:45, y:0
noise1-00006800.png: left: y=-5.844147588918117x+123.92598550710463, right: y=2.044140169178412x+-84.52128447802059, x:40, y:0
noise1-00006850.png: left: y=-4.9872574295086585x+133.8345644053304, right: y=2.092081811944512x+-91.81945813584858, x:32, y:0
